Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,age_group,screen_time_hours,sleep_affected
12,Male,6.15,Laptop,True,0.41,Poor Sleep,Urban,8-12 (Pre-teen),6.15,1
15,Female,5.72,Tablet,True,0.33,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),5.72,1
17,Male,3.41,Laptop,True,0.31,,Rural,13-17 (Teen),3.41,0
16,Male,4.45,Laptop,True,0.48,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.45,1
16,Male,2.9,Smartphone,False,0.31,,Urban,13-17 (Teen),2.9,0
8,Female,7.54,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),7.54,1
16,Male,4.34,Tablet,True,0.48,"Poor Sleep, Anxiety",Urban,13-17 (Teen),4.34,1
14,Female,5.43,Smartphone,True,0.49,,Urban,13-17 (Teen),5.43,0
16,Female,4.78,Tablet,True,0.33,"Poor Sleep, Anxiety",Rural,13-17 (Teen),4.78,1
15,Female,3.64,Tablet,True,0.48,"Poor Sleep, Anxiety, Obesity Risk",Urban,13-17 (Teen),3.64,1
8,Female,1.67,Smartphone,False,0.45,,Rural,8-12 (Pre-teen),1.67,0
15,Female,4.96,Tablet,True,0.42,"Anxiety, Obesity Risk",Rural,13-17 (Teen),4.96,0
15,Male,5.91,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),5.91,1
18,Female,6.3,Tablet,True,0.39,Poor Sleep,Rural,18-29 (Young Adult),6.3,1
10,Female,0.0,Tablet,False,0.4,,Urban,8-12 (Pre-teen),0.0,0
8,Male,3.39,TV,True,0.43,,Rural,8-12 (Pre-teen),3.39,0
15,Male,3.57,Smartphone,True,0.32,"Poor Sleep, Obesity Risk",Rural,13-17 (Teen),3.57,1
10,Female,1.36,Smartphone,False,0.57,,Urban,8-12 (Pre-teen),1.36,0
10,Male,0.0,Smartphone,False,0.45,,Rural,8-12 (Pre-teen),0.0,0
8,Male,2.75,TV,True,0.53,,Rural,8-12 (Pre-teen),2.75,0
18,Female,6.4,Smartphone,True,0.32,,Urban,18-29 (Young Adult),6.4,0
12,Female,3.77,Laptop,True,0.48,Poor Sleep,Rural,8-12 (Pre-teen),3.77,1
17,Female,4.73,Smartphone,True,0.47,Poor Sleep,Urban,13-17 (Teen),4.73,1
14,Male,5.76,Tablet,True,0.4,Poor Sleep,Urban,13-17 (Teen),5.76,1
17,Female,2.78,Smartphone,False,0.34,,Urban,13-17 (Teen),2.78,0
16,Female,3.93,Smartphone,True,0.39,Poor Sleep,Rural,13-17 (Teen),3.93,1
14,Male,4.61,TV,True,0.31,Obesity Risk,Urban,13-17 (Teen),4.61,0
16,Male,5.67,TV,True,0.49,Poor Sleep,Urban,13-17 (Teen),5.67,1
15,Female,4.51,Laptop,True,0.4,Poor Sleep,Urban,13-17 (Teen),4.51,1
9,Female,0.45,Smartphone,False,0.46,,Rural,8-12 (Pre-teen),0.45,0
8,Male,2.52,Smartphone,True,0.58,,Urban,8-12 (Pre-teen),2.52,0
14,Male,6.04,Smartphone,True,0.39,,Urban,13-17 (Teen),6.04,0
14,Female,6.1,Smartphone,True,0.47,Poor Sleep,Rural,13-17 (Teen),6.1,1
15,Male,5.61,Smartphone,True,0.39,Obesity Risk,Urban,13-17 (Teen),5.61,0
12,Male,2.34,Smartphone,False,0.37,,Urban,8-12 (Pre-teen),2.34,0
10,Male,6.86,TV,True,0.56,Poor Sleep,Urban,8-12 (Pre-teen),6.86,1
15,Female,3.78,Laptop,True,0.31,Poor Sleep,Rural,13-17 (Teen),3.78,1
13,Male,4.67,Smartphone,True,0.44,"Anxiety, Obesity Risk",Urban,13-17 (Teen),4.67,0
18,Male,3.25,Tablet,True,0.45,"Poor Sleep, Eye Strain",Rural,18-29 (Young Adult),3.25,1
10,Male,4.98,Smartphone,True,0.46,,Rural,8-12 (Pre-teen),4.98,0
8,Male,5.22,Smartphone,True,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),5.22,1
10,Female,5.02,TV,True,0.6,,Urban,8-12 (Pre-teen),5.02,0
12,Male,6.06,Smartphone,True,0.43,Eye Strain,Urban,8-12 (Pre-teen),6.06,0
10,Female,1.86,Smartphone,False,0.46,,Rural,8-12 (Pre-teen),1.86,0
8,Female,6.48,Smartphone,True,0.48,,Rural,8-12 (Pre-teen),6.48,0
12,Male,4.37,Laptop,True,0.46,Eye Strain,Rural,8-12 (Pre-teen),4.37,0
17,Male,4.16,Laptop,True,0.31,Poor Sleep,Rural,13-17 (Teen),4.16,1
14,Female,3.91,Laptop,True,0.39,Eye Strain,Urban,13-17 (Teen),3.91,0
14,Male,4.54,Laptop,True,0.41,Poor Sleep,Urban,13-17 (Teen),4.54,1
18,Female,4.59,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Rural,18-29 (Young Adult),4.59,1
16,Female,2.42,Smartphone,False,0.45,,Urban,13-17 (Teen),2.42,0
17,Male,6.78,Smartphone,True,0.49,Poor Sleep,Urban,13-17 (Teen),6.78,1
17,Female,4.19,TV,True,0.48,Obesity Risk,Rural,13-17 (Teen),4.19,0
10,Female,3.27,TV,True,0.48,"Poor Sleep, Eye Strain",Rural,8-12 (Pre-teen),3.27,1
14,Male,6.01,Tablet,True,0.34,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),6.01,1
8,Female,4.74,Smartphone,True,0.5,"Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),4.74,0
11,Female,3.42,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),3.42,1
11,Female,5.47,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),5.47,1
12,Female,6.28,Smartphone,True,0.32,Poor Sleep,Rural,8-12 (Pre-teen),6.28,1
14,Male,3.26,Smartphone,True,0.46,"Poor Sleep, Anxiety",Urban,13-17 (Teen),3.26,1
14,Male,6.06,Smartphone,True,0.38,Anxiety,Urban,13-17 (Teen),6.06,0
18,Female,4.67,TV,True,0.32,Poor Sleep,Urban,18-29 (Young Adult),4.67,1
11,Male,3.75,Smartphone,True,0.43,,Urban,8-12 (Pre-teen),3.75,0
14,Female,6.7,Smartphone,True,0.3,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),6.7,1
18,Female,3.58,Smartphone,True,0.38,,Urban,18-29 (Young Adult),3.58,0
10,Female,2.51,TV,True,0.47,,Rural,8-12 (Pre-teen),2.51,0
13,Male,5.24,Smartphone,True,0.43,Poor Sleep,Urban,13-17 (Teen),5.24,1
9,Female,0.0,Tablet,False,0.49,,Rural,8-12 (Pre-teen),0.0,0
17,Female,5.14,Smartphone,True,0.36,Poor Sleep,Urban,13-17 (Teen),5.14,1
16,Female,3.7,Tablet,True,0.33,Eye Strain,Urban,13-17 (Teen),3.7,0
12,Male,4.79,TV,True,0.32,Poor Sleep,Urban,8-12 (Pre-teen),4.79,1
13,Male,3.3,Tablet,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Rural,13-17 (Teen),3.3,1
11,Female,5.97,Smartphone,True,0.5,Poor Sleep,Urban,8-12 (Pre-teen),5.97,1
18,Female,3.05,Smartphone,True,0.37,"Eye Strain, Anxiety, Obesity Risk",Urban,18-29 (Young Adult),3.05,0
17,Female,5.18,Smartphone,True,0.42,Eye Strain,Urban,13-17 (Teen),5.18,0
14,Female,3.66,Laptop,True,0.33,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),3.66,1
16,Male,4.08,Smartphone,True,0.47,,Urban,13-17 (Teen),4.08,0
14,Female,4.41,TV,True,0.32,,Urban,13-17 (Teen),4.41,0
8,Female,4.84,Smartphone,True,0.54,Poor Sleep,Urban,8-12 (Pre-teen),4.84,1
8,Female,6.82,Smartphone,True,0.52,,Rural,8-12 (Pre-teen),6.82,0
16,Female,4.6,Smartphone,True,0.4,Poor Sleep,Urban,13-17 (Teen),4.6,1
18,Female,4.06,Smartphone,True,0.44,Poor Sleep,Urban,18-29 (Young Adult),4.06,1
16,Female,6.5,TV,True,0.49,,Urban,13-17 (Teen),6.5,0
11,Female,4.21,TV,True,0.3,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural,8-12 (Pre-teen),4.21,1
16,Female,7.07,Laptop,True,0.36,Poor Sleep,Urban,13-17 (Teen),7.07,1
10,Male,2.48,Smartphone,True,0.51,,Rural,8-12 (Pre-teen),2.48,0
14,Female,4.06,Smartphone,True,0.42,Poor Sleep,Urban,13-17 (Teen),4.06,1
13,Male,3.9,Smartphone,True,0.36,,Urban,13-17 (Teen),3.9,0
15,Female,2.38,TV,False,0.33,,Urban,13-17 (Teen),2.38,0
18,Female,6.59,Laptop,True,0.39,Poor Sleep,Rural,18-29 (Young Adult),6.59,1
16,Male,5.6,Laptop,True,0.4,Poor Sleep,Rural,13-17 (Teen),5.6,1
12,Male,5.32,Laptop,True,0.31,Poor Sleep,Urban,8-12 (Pre-teen),5.32,1
8,Male,4.82,TV,True,0.51,"Poor Sleep, Eye Strain, Anxiety",Rural,8-12 (Pre-teen),4.82,1
10,Male,3.69,TV,True,0.56,Poor Sleep,Urban,8-12 (Pre-teen),3.69,1
17,Male,4.17,TV,True,0.39,Poor Sleep,Urban,13-17 (Teen),4.17,1
15,Male,4.09,TV,True,0.35,"Poor Sleep, Anxiety",Urban,13-17 (Teen),4.09,1
18,Male,5.83,Smartphone,True,0.39,Anxiety,Rural,18-29 (Young Adult),5.83,0
13,Female,4.74,Laptop,True,0.44,Poor Sleep,Rural,13-17 (Teen),4.74,1
15,Female,4.01,TV,True,0.39,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.01,1
16,Female,2.59,Laptop,False,0.44,,Urban,13-17 (Teen),2.59,0
11,Female,4.94,Smartphone,True,0.45,Poor Sleep,Urban,8-12 (Pre-teen),4.94,1
8,Male,4.15,TV,True,0.59,Eye Strain,Rural,8-12 (Pre-teen),4.15,0
8,Male,0.3,TV,False,0.48,,Urban,8-12 (Pre-teen),0.3,0
17,Female,4.75,Tablet,True,0.37,Obesity Risk,Rural,13-17 (Teen),4.75,0
11,Male,5.12,Laptop,True,0.48,,Urban,8-12 (Pre-teen),5.12,0
14,Male,3.2,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban,13-17 (Teen),3.2,1
9,Male,5.72,Smartphone,True,0.51,Eye Strain,Urban,8-12 (Pre-teen),5.72,0
10,Male,6.8,TV,True,0.43,,Rural,8-12 (Pre-teen),6.8,0
8,Female,4.73,Tablet,True,0.42,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),4.73,1
12,Male,1.51,Smartphone,False,0.5,,Urban,8-12 (Pre-teen),1.51,0
8,Female,7.74,Tablet,True,0.5,Poor Sleep,Urban,8-12 (Pre-teen),7.74,1
15,Female,5.08,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),5.08,1
8,Female,1.13,TV,False,0.41,,Urban,8-12 (Pre-teen),1.13,0
18,Male,5.12,Smartphone,True,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Rural,18-29 (Young Adult),5.12,1
8,Male,6.34,TV,True,0.51,Poor Sleep,Urban,8-12 (Pre-teen),6.34,1
9,Female,5.05,Smartphone,True,0.58,Poor Sleep,Urban,8-12 (Pre-teen),5.05,1
9,Female,0.73,Smartphone,False,0.58,,Urban,8-12 (Pre-teen),0.73,0
13,Male,5.49,Smartphone,True,0.45,Poor Sleep,Urban,13-17 (Teen),5.49,1
14,Female,4.51,Laptop,True,0.36,Poor Sleep,Urban,13-17 (Teen),4.51,1
12,Male,2.9,Smartphone,False,0.48,,Urban,8-12 (Pre-teen),2.9,0
8,Male,6.29,Tablet,True,0.49,Poor Sleep,Urban,8-12 (Pre-teen),6.29,1
8,Male,2.1,Smartphone,True,0.5,,Urban,8-12 (Pre-teen),2.1,0
10,Female,4.53,TV,True,0.47,Poor Sleep,Urban,8-12 (Pre-teen),4.53,1
9,Female,2.44,Tablet,True,0.48,,Rural,8-12 (Pre-teen),2.44,0
12,Female,2.14,Smartphone,False,0.4,,Urban,8-12 (Pre-teen),2.14,0
17,Female,2.72,Smartphone,False,0.33,,Urban,13-17 (Teen),2.72,0
13,Female,4.49,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,13-17 (Teen),4.49,1
14,Female,3.15,Tablet,True,0.38,,Urban,13-17 (Teen),3.15,0
11,Male,3.74,Smartphone,True,0.42,"Eye Strain, Anxiety",Rural,8-12 (Pre-teen),3.74,0
14,Female,3.82,Tablet,True,0.46,Poor Sleep,Urban,13-17 (Teen),3.82,1
18,Female,6.53,TV,True,0.43,Poor Sleep,Urban,18-29 (Young Adult),6.53,1
15,Female,4.54,Laptop,True,0.46,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.54,1
18,Female,3.87,Laptop,True,0.36,,Urban,18-29 (Young Adult),3.87,0
8,Female,0.1,Tablet,False,0.5,,Rural,8-12 (Pre-teen),0.1,0
13,Male,4.44,Smartphone,True,0.39,Poor Sleep,Urban,13-17 (Teen),4.44,1
15,Male,4.75,Smartphone,True,0.44,,Rural,13-17 (Teen),4.75,0
12,Female,3.65,Tablet,True,0.4,Eye Strain,Urban,8-12 (Pre-teen),3.65,0
11,Male,3.85,Laptop,True,0.31,"Poor Sleep, Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),3.85,1
9,Male,2.32,TV,True,0.51,,Urban,8-12 (Pre-teen),2.32,0
13,Male,3.65,Laptop,True,0.37,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),3.65,1
13,Female,5.78,TV,True,0.43,"Poor Sleep, Obesity Risk",Rural,13-17 (Teen),5.78,1
18,Male,2.96,TV,False,0.43,,Urban,18-29 (Young Adult),2.96,0
8,Female,0.91,Smartphone,False,0.43,,Urban,8-12 (Pre-teen),0.91,0
16,Male,4.17,Smartphone,True,0.36,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.17,1
18,Male,3.98,Laptop,True,0.37,Poor Sleep,Urban,18-29 (Young Adult),3.98,1
13,Male,2.94,Smartphone,False,0.43,,Urban,13-17 (Teen),2.94,0
10,Female,6.63,TV,True,0.54,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),6.63,1
11,Male,2.9,TV,False,0.36,,Urban,8-12 (Pre-teen),2.9,0
18,Female,5.84,Smartphone,True,0.43,Eye Strain,Urban,18-29 (Young Adult),5.84,0
11,Male,4.78,Smartphone,True,0.39,"Poor Sleep, Anxiety",Rural,8-12 (Pre-teen),4.78,1
10,Male,4.13,Smartphone,True,0.4,Poor Sleep,Urban,8-12 (Pre-teen),4.13,1
17,Male,3.67,Smartphone,True,0.34,Poor Sleep,Urban,13-17 (Teen),3.67,1
10,Male,3.02,TV,True,0.46,"Poor Sleep, Obesity Risk",Rural,8-12 (Pre-teen),3.02,1
10,Female,1.92,TV,False,0.41,,Urban,8-12 (Pre-teen),1.92,0
11,Female,4.16,Laptop,True,0.36,"Anxiety, Obesity Risk",Urban,8-12 (Pre-teen),4.16,0
14,Male,3.9,TV,True,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Urban,13-17 (Teen),3.9,1
11,Female,6.12,TV,True,0.34,,Urban,8-12 (Pre-teen),6.12,0
16,Male,6.23,Smartphone,True,0.47,Obesity Risk,Rural,13-17 (Teen),6.23,0
8,Male,2.87,Smartphone,True,0.52,,Urban,8-12 (Pre-teen),2.87,0
15,Male,4.88,Smartphone,True,0.34,"Poor Sleep, Obesity Risk",Urban,13-17 (Teen),4.88,1
14,Female,2.61,Smartphone,False,0.38,,Rural,13-17 (Teen),2.61,0
9,Female,1.19,Tablet,False,0.45,,Urban,8-12 (Pre-teen),1.19,0
15,Male,2.54,Laptop,False,0.3,,Urban,13-17 (Teen),2.54,0
8,Male,5.36,Tablet,True,0.56,Poor Sleep,Urban,8-12 (Pre-teen),5.36,1
18,Male,4.18,TV,True,0.31,,Urban,18-29 (Young Adult),4.18,0
16,Male,4.47,TV,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),4.47,1
16,Female,5.91,TV,True,0.38,Anxiety,Rural,13-17 (Teen),5.91,0
9,Female,1.64,Smartphone,False,0.49,,Urban,8-12 (Pre-teen),1.64,0
14,Female,4.13,Smartphone,True,0.49,"Poor Sleep, Eye Strain, Obesity Risk",Rural,13-17 (Teen),4.13,1
17,Male,1.97,Smartphone,False,0.44,,Rural,13-17 (Teen),1.97,0
10,Female,0.21,Smartphone,False,0.5,,Urban,8-12 (Pre-teen),0.21,0
14,Female,3.27,Tablet,True,0.45,"Poor Sleep, Obesity Risk",Urban,13-17 (Teen),3.27,1
17,Female,4.62,Smartphone,True,0.38,,Urban,13-17 (Teen),4.62,0
16,Female,4.14,Smartphone,True,0.41,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.14,1
11,Female,3.82,Laptop,True,0.5,"Eye Strain, Anxiety",Urban,8-12 (Pre-teen),3.82,0
8,Female,4.69,Smartphone,True,0.59,Poor Sleep,Urban,8-12 (Pre-teen),4.69,1
9,Male,3.59,Smartphone,True,0.44,,Rural,8-12 (Pre-teen),3.59,0
8,Male,3.28,Tablet,True,0.46,Anxiety,Rural,8-12 (Pre-teen),3.28,0
12,Male,3.94,TV,True,0.44,Poor Sleep,Urban,8-12 (Pre-teen),3.94,1
12,Male,6.34,Laptop,True,0.43,,Rural,8-12 (Pre-teen),6.34,0
18,Female,5.16,Smartphone,True,0.47,Poor Sleep,Urban,18-29 (Young Adult),5.16,1
14,Male,2.89,Laptop,False,0.4,,Rural,13-17 (Teen),2.89,0
16,Female,3.73,Laptop,True,0.34,"Poor Sleep, Eye Strain, Anxiety",Rural,13-17 (Teen),3.73,1
16,Male,5.77,Laptop,True,0.41,"Eye Strain, Anxiety",Urban,13-17 (Teen),5.77,0
10,Male,3.57,Smartphone,True,0.52,,Rural,8-12 (Pre-teen),3.57,0
10,Female,6.58,TV,True,0.52,Poor Sleep,Rural,8-12 (Pre-teen),6.58,1
10,Male,3.2,Smartphone,True,0.55,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),3.2,1
11,Male,2.08,TV,False,0.31,,Rural,8-12 (Pre-teen),2.08,0
15,Male,4.26,Smartphone,True,0.42,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),4.26,1
13,Male,8.24,TV,True,0.4,Poor Sleep,Urban,13-17 (Teen),8.24,1
15,Male,3.85,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Urban,13-17 (Teen),3.85,1
8,Female,1.63,Smartphone,False,0.59,,Urban,8-12 (Pre-teen),1.63,0
15,Male,2.2,Smartphone,False,0.44,,Rural,13-17 (Teen),2.2,0
11,Female,2.73,Tablet,False,0.35,,Urban,8-12 (Pre-teen),2.73,0
18,Male,5.02,Smartphone,True,0.49,,Urban,18-29 (Young Adult),5.02,0
8,Female,4.92,Tablet,True,0.59,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),4.92,1
15,Female,4.32,Smartphone,True,0.33,Poor Sleep,Urban,13-17 (Teen),4.32,1
11,Male,3.71,Smartphone,True,0.4,Poor Sleep,Urban,8-12 (Pre-teen),3.71,1
13,Male,4.29,Smartphone,True,0.3,,Urban,13-17 (Teen),4.29,0
15,Female,6.56,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),6.56,1
11,Male,0.95,Smartphone,False,0.36,,Urban,8-12 (Pre-teen),0.95,0
10,Female,2.0,Smartphone,False,0.58,,Urban,8-12 (Pre-teen),2.0,0
16,Female,3.12,Smartphone,True,0.44,Eye Strain,Urban,13-17 (Teen),3.12,0
10,Female,1.65,Smartphone,False,0.56,,Urban,8-12 (Pre-teen),1.65,0
16,Male,3.96,Smartphone,True,0.37,Poor Sleep,Urban,13-17 (Teen),3.96,1
9,Female,1.68,TV,False,0.6,,Rural,8-12 (Pre-teen),1.68,0
