age_group,gender,screen_time_hours,sleep_affected,source
30-45 (Adult),M,2.3,1,Adult
18-29 (Young Adult),F,1.3,1,Adult
18-29 (Young Adult),F,2.4,0,Adult
18-29 (Young Adult),M,6.6,1,Adult
18-29 (Young Adult),M,5.9,1,Adult
30-45 (Adult),F,2.0,0,Adult
30-45 (Adult),M,7.8,1,Adult
18-29 (Young Adult),M,6.5,1,Adult
18-29 (Young Adult),M,7.3,0,Adult
30-45 (Adult),F,9.8,1,Adult
18-29 (Young Adult),M,6.8,1,Adult
18-29 (Young Adult),F,5.5,0,Adult
30-45 (Adult),M,4.4,0,Adult
30-45 (Adult),M,9.3,1,Adult
18-29 (Young Adult),F,5.6,1,Adult
18-29 (Young Adult),M,7.4,1,Adult
18-29 (Young Adult),M,6.0,1,Adult
30-45 (Adult),M,4.8,1,Adult
18-29 (Young Adult),F,10.0,1,Adult
30-45 (Adult),F,5.4,0,Adult
30-45 (Adult),M,4.3,1,Adult
30-45 (Adult),M,4.3,0,Adult
18-29 (Young Adult),M,2.4,1,Adult
18-29 (Young Adult),M,1.2,0,Adult
30-45 (Adult),F,2.3,0,Adult
30-45 (Adult),F,5.6,1,Adult
30-45 (Adult),M,4.0,1,Adult
30-45 (Adult),F,9.3,1,Adult
30-45 (Adult),F,2.3,0,Adult
30-45 (Adult),F,7.6,1,Adult
30-45 (Adult),M,9.1,0,Adult
18-29 (Young Adult),F,6.6,1,Adult
30-45 (Adult),F,9.0,1,Adult
30-45 (Adult),F,5.3,1,Adult
18-29 (Young Adult),M,4.5,0,Adult
30-45 (Adult),M,8.7,0,Adult
18-29 (Young Adult),M,5.6,0,Adult
30-45 (Adult),F,2.4,0,Adult
18-29 (Young Adult),M,4.0,1,Adult
18-29 (Young Adult),F,7.3,0,Adult
30-45 (Adult),F,4.8,0,Adult
30-45 (Adult),F,6.0,0,Adult
30-45 (Adult),M,1.3,1,Adult
30-45 (Adult),F,6.7,1,Adult
30-45 (Adult),M,2.8,0,Adult
30-45 (Adult),F,5.1,0,Adult
30-45 (Adult),F,8.8,1,Adult
30-45 (Adult),M,5.6,1,Adult
30-45 (Adult),F,3.7,1,Adult
30-45 (Adult),M,3.0,1,Adult
30-45 (Adult),M,3.0,1,Adult
30-45 (Adult),F,5.0,1,Adult
30-45 (Adult),M,5.4,0,Adult
18-29 (Young Adult),M,1.4,1,Adult
30-45 (Adult),M,6.0,1,Adult
30-45 (Adult),F,8.3,1,Adult
18-29 (Young Adult),F,5.5,1,Adult
30-45 (Adult),M,2.1,0,Adult
30-45 (Adult),F,5.0,1,Adult
18-29 (Young Adult),F,7.3,1,Adult
18-29 (Young Adult),F,5.1,1,Adult
30-45 (Adult),F,4.1,0,Adult
30-45 (Adult),F,5.5,1,Adult
30-45 (Adult),F,4.5,1,Adult
30-45 (Adult),M,9.5,1,Adult
18-29 (Young Adult),F,3.6,1,Adult
30-45 (Adult),F,1.2,1,Adult
30-45 (Adult),M,4.7,1,Adult
18-29 (Young Adult),M,2.1,0,Adult
18-29 (Young Adult),M,1.8,0,Adult
30-45 (Adult),M,2.0,0,Adult
18-29 (Young Adult),M,9.4,1,Adult
30-45 (Adult),F,3.9,1,Adult
18-29 (Young Adult),M,3.1,0,Adult
18-29 (Young Adult),F,10.0,1,Adult
18-29 (Young Adult),M,8.2,1,Adult
30-45 (Adult),M,5.7,1,Adult
18-29 (Young Adult),M,5.7,1,Adult
30-45 (Adult),F,4.6,1,Adult
18-29 (Young Adult),M,2.5,1,Adult
18-29 (Young Adult),F,1.7,0,Adult
18-29 (Young Adult),F,8.0,1,Adult
18-29 (Young Adult),F,8.3,0,Adult
18-29 (Young Adult),M,7.7,1,Adult
30-45 (Adult),F,4.3,1,Adult
18-29 (Young Adult),M,7.4,0,Adult
18-29 (Young Adult),M,2.1,1,Adult
18-29 (Young Adult),M,2.2,0,Adult
18-29 (Young Adult),M,3.8,1,Adult
30-45 (Adult),F,1.9,0,Adult
18-29 (Young Adult),M,5.3,1,Adult
18-29 (Young Adult),M,3.5,1,Adult
30-45 (Adult),F,1.9,0,Adult
30-45 (Adult),M,2.9,0,Adult
18-29 (Young Adult),M,4.1,1,Adult
18-29 (Young Adult),F,2.6,0,Adult
30-45 (Adult),F,5.5,1,Adult
30-45 (Adult),F,3.3,1,Adult
18-29 (Young Adult),M,9.0,1,Adult
30-45 (Adult),F,9.1,1,Adult
18-29 (Young Adult),F,6.0,1,Adult
18-29 (Young Adult),M,8.6,1,Adult
30-45 (Adult),F,8.2,1,Adult
30-45 (Adult),F,3.7,1,Adult
30-45 (Adult),M,1.2,0,Adult
30-45 (Adult),M,1.3,1,Adult
30-45 (Adult),M,4.5,0,Adult
30-45 (Adult),M,4.0,0,Adult
30-45 (Adult),M,4.7,1,Adult
18-29 (Young Adult),M,3.6,1,Adult
18-29 (Young Adult),F,8.1,0,Adult
30-45 (Adult),M,4.6,1,Adult
30-45 (Adult),F,5.1,1,Adult
18-29 (Young Adult),M,9.3,0,Adult
30-45 (Adult),M,9.3,1,Adult
30-45 (Adult),M,6.4,1,Adult
18-29 (Young Adult),F,3.4,1,Adult
18-29 (Young Adult),M,6.6,1,Adult
30-45 (Adult),M,7.5,1,Adult
18-29 (Young Adult),F,3.6,0,Adult
18-29 (Young Adult),F,6.5,1,Adult
30-45 (Adult),M,1.1,0,Adult
30-45 (Adult),M,8.3,1,Adult
18-29 (Young Adult),M,8.4,1,Adult
18-29 (Young Adult),F,1.5,1,Adult
18-29 (Young Adult),F,6.1,0,Adult
18-29 (Young Adult),F,3.8,1,Adult
30-45 (Adult),M,2.2,0,Adult
30-45 (Adult),F,9.6,1,Adult
30-45 (Adult),F,5.0,0,Adult
30-45 (Adult),M,1.2,0,Adult
30-45 (Adult),F,1.9,1,Adult
30-45 (Adult),F,9.6,1,Adult
18-29 (Young Adult),M,9.3,0,Adult
30-45 (Adult),F,1.1,1,Adult
18-29 (Young Adult),F,1.1,1,Adult
30-45 (Adult),M,6.7,1,Adult
18-29 (Young Adult),M,3.1,1,Adult
18-29 (Young Adult),M,9.3,0,Adult
18-29 (Young Adult),F,3.0,1,Adult
18-29 (Young Adult),F,7.5,1,Adult
18-29 (Young Adult),M,3.5,0,Adult
30-45 (Adult),F,6.8,0,Adult
18-29 (Young Adult),M,2.4,1,Adult
18-29 (Young Adult),F,2.4,0,Adult
18-29 (Young Adult),M,4.1,1,Adult
30-45 (Adult),F,6.8,0,Adult
18-29 (Young Adult),M,9.9,1,Adult
30-45 (Adult),F,7.8,1,Adult
30-45 (Adult),F,8.2,0,Adult
30-45 (Adult),F,6.5,1,Adult
30-45 (Adult),F,1.5,1,Adult
30-45 (Adult),F,2.8,1,Adult
30-45 (Adult),M,6.2,1,Adult
18-29 (Young Adult),F,7.4,1,Adult
18-29 (Young Adult),F,9.1,0,Adult
18-29 (Young Adult),F,7.0,0,Adult
18-29 (Young Adult),M,6.8,0,Adult
30-45 (Adult),F,5.9,0,Adult
18-29 (Young Adult),M,6.2,1,Adult
30-45 (Adult),M,2.7,0,Adult
18-29 (Young Adult),M,6.4,0,Adult
30-45 (Adult),M,1.0,0,Adult
18-29 (Young Adult),M,4.4,0,Adult
30-45 (Adult),F,4.5,1,Adult
18-29 (Young Adult),F,5.2,1,Adult
18-29 (Young Adult),M,1.2,1,Adult
30-45 (Adult),F,5.7,1,Adult
30-45 (Adult),M,9.7,0,Adult
30-45 (Adult),F,4.6,1,Adult
18-29 (Young Adult),M,8.3,0,Adult
30-45 (Adult),F,9.9,1,Adult
18-29 (Young Adult),F,9.2,1,Adult
18-29 (Young Adult),F,6.0,1,Adult
18-29 (Young Adult),F,7.5,1,Adult
18-29 (Young Adult),F,2.5,1,Adult
30-45 (Adult),F,7.1,1,Adult
18-29 (Young Adult),F,5.2,0,Adult
30-45 (Adult),F,2.0,1,Adult
18-29 (Young Adult),F,3.3,0,Adult
18-29 (Young Adult),F,6.8,1,Adult
30-45 (Adult),F,6.1,1,Adult
18-29 (Young Adult),M,9.0,1,Adult
18-29 (Young Adult),F,2.3,1,Adult
18-29 (Young Adult),F,7.5,1,Adult
18-29 (Young Adult),M,2.3,1,Adult
18-29 (Young Adult),M,3.3,1,Adult
30-45 (Adult),F,8.3,1,Adult
30-45 (Adult),F,5.9,0,Adult
30-45 (Adult),M,4.0,0,Adult
18-29 (Young Adult),F,2.2,0,Adult
18-29 (Young Adult),F,2.9,1,Adult
30-45 (Adult),M,9.5,1,Adult
30-45 (Adult),F,8.5,1,Adult
18-29 (Young Adult),F,4.1,1,Adult
30-45 (Adult),F,1.1,1,Adult
30-45 (Adult),F,1.0,0,Adult
18-29 (Young Adult),M,2.3,0,Adult
30-45 (Adult),M,3.6,0,Adult
18-29 (Young Adult),F,8.4,1,Adult
30-45 (Adult),F,1.1,1,Adult
30-45 (Adult),M,6.0,1,Adult
30-45 (Adult),M,4.9,1,Adult
30-45 (Adult),F,5.0,1,Adult
18-29 (Young Adult),F,4.1,1,Adult
30-45 (Adult),F,9.7,1,Adult
18-29 (Young Adult),F,1.4,1,Adult
18-29 (Young Adult),M,4.8,0,Adult
30-45 (Adult),F,3.9,1,Adult
30-45 (Adult),M,4.8,1,Adult
30-45 (Adult),M,9.2,0,Adult
18-29 (Young Adult),F,4.7,1,Adult
30-45 (Adult),F,5.0,1,Adult
18-29 (Young Adult),M,8.9,0,Adult
30-45 (Adult),M,7.8,1,Adult
30-45 (Adult),M,7.1,0,Adult
18-29 (Young Adult),F,9.2,0,Adult
18-29 (Young Adult),F,5.0,1,Adult
18-29 (Young Adult),M,9.5,0,Adult
18-29 (Young Adult),F,7.0,0,Adult
18-29 (Young Adult),F,1.2,0,Adult
30-45 (Adult),F,3.6,1,Adult
18-29 (Young Adult),M,4.1,1,Adult
30-45 (Adult),M,1.8,1,Adult
30-45 (Adult),M,9.4,0,Adult
18-29 (Young Adult),F,5.4,1,Adult
18-29 (Young Adult),M,2.9,0,Adult
30-45 (Adult),M,2.0,1,Adult
30-45 (Adult),F,3.7,1,Adult
30-45 (Adult),M,7.4,1,Adult
18-29 (Young Adult),F,8.6,0,Adult
18-29 (Young Adult),F,3.6,1,Adult
18-29 (Young Adult),F,2.9,1,Adult
18-29 (Young Adult),F,6.5,0,Adult
30-45 (Adult),M,8.0,1,Adult
30-45 (Adult),F,3.3,1,Adult
18-29 (Young Adult),F,7.3,1,Adult
30-45 (Adult),F,7.8,1,Adult
18-29 (Young Adult),M,3.9,1,Adult
30-45 (Adult),F,8.7,1,Adult
18-29 (Young Adult),M,2.7,1,Adult
18-29 (Young Adult),F,2.9,1,Adult
30-45 (Adult),M,3.3,0,Adult
18-29 (Young Adult),M,4.8,0,Adult
18-29 (Young Adult),F,6.8,0,Adult
18-29 (Young Adult),M,3.3,1,Adult
18-29 (Young Adult),F,4.8,0,Adult
30-45 (Adult),F,2.9,0,Adult
30-45 (Adult),F,3.2,1,Adult
18-29 (Young Adult),F,4.5,1,Adult
30-45 (Adult),F,6.5,1,Adult
30-45 (Adult),F,5.9,0,Adult
30-45 (Adult),F,10.0,1,Adult
18-29 (Young Adult),F,3.8,1,Adult
30-45 (Adult),F,4.7,1,Adult
18-29 (Young Adult),M,6.3,0,Adult
18-29 (Young Adult),F,1.5,0,Adult
30-45 (Adult),F,8.6,0,Adult
30-45 (Adult),M,7.7,1,Adult
30-45 (Adult),F,4.5,1,Adult
30-45 (Adult),M,9.7,1,Adult
30-45 (Adult),M,4.9,0,Adult
18-29 (Young Adult),F,9.7,1,Adult
30-45 (Adult),F,1.8,0,Adult
30-45 (Adult),F,9.5,1,Adult
30-45 (Adult),F,6.3,1,Adult
30-45 (Adult),M,7.8,0,Adult
30-45 (Adult),M,9.7,0,Adult
18-29 (Young Adult),M,6.5,1,Adult
30-45 (Adult),M,8.1,0,Adult
18-29 (Young Adult),F,9.8,1,Adult
30-45 (Adult),M,6.0,1,Adult
30-45 (Adult),M,4.0,1,Adult
18-29 (Young Adult),F,1.1,1,Adult
18-29 (Young Adult),M,4.6,0,Adult
30-45 (Adult),M,2.8,1,Adult
18-29 (Young Adult),M,4.2,1,Adult
30-45 (Adult),F,9.1,0,Adult
18-29 (Young Adult),M,4.6,1,Adult
18-29 (Young Adult),F,1.7,1,Adult
18-29 (Young Adult),F,1.7,0,Adult
30-45 (Adult),F,4.2,0,Adult
30-45 (Adult),M,4.1,1,Adult
18-29 (Young Adult),M,9.3,1,Adult
18-29 (Young Adult),M,5.6,1,Adult
18-29 (Young Adult),M,6.3,1,Adult
30-45 (Adult),M,8.2,1,Adult
18-29 (Young Adult),F,6.6,1,Adult
30-45 (Adult),F,5.8,1,Adult
30-45 (Adult),M,8.5,1,Adult
30-45 (Adult),F,7.8,1,Adult
30-45 (Adult),M,9.9,1,Adult
30-45 (Adult),M,9.5,0,Adult
18-29 (Young Adult),M,2.1,1,Adult
18-29 (Young Adult),F,9.4,0,Adult
30-45 (Adult),M,5.8,1,Adult
30-45 (Adult),M,9.3,1,Adult
18-29 (Young Adult),F,6.0,1,Adult
30-45 (Adult),M,2.0,1,Adult
30-45 (Adult),M,9.1,1,Adult
30-45 (Adult),F,1.3,1,Adult
30-45 (Adult),F,7.2,0,Adult
30-45 (Adult),F,9.7,0,Adult
30-45 (Adult),M,7.3,1,Adult
30-45 (Adult),F,1.7,1,Adult
18-29 (Young Adult),F,6.7,1,Adult
18-29 (Young Adult),F,8.2,0,Adult
30-45 (Adult),M,1.7,1,Adult
18-29 (Young Adult),M,8.3,1,Adult
30-45 (Adult),M,9.6,1,Adult
18-29 (Young Adult),M,8.5,0,Adult
18-29 (Young Adult),F,4.7,0,Adult
30-45 (Adult),M,8.4,1,Adult
30-45 (Adult),M,2.4,0,Adult
30-45 (Adult),M,6.9,1,Adult
30-45 (Adult),F,2.3,0,Adult
30-45 (Adult),M,3.1,1,Adult
18-29 (Young Adult),F,8.0,0,Adult
30-45 (Adult),M,5.0,1,Adult
30-45 (Adult),M,3.8,1,Adult
30-45 (Adult),F,7.4,1,Adult
18-29 (Young Adult),M,5.2,1,Adult
30-45 (Adult),M,4.7,1,Adult
18-29 (Young Adult),M,4.1,1,Adult
18-29 (Young Adult),F,3.1,1,Adult
30-45 (Adult),M,8.1,0,Adult
18-29 (Young Adult),M,6.5,0,Adult
30-45 (Adult),F,5.3,1,Adult
18-29 (Young Adult),F,8.8,0,Adult
30-45 (Adult),F,4.5,0,Adult
30-45 (Adult),M,1.6,1,Adult
30-45 (Adult),M,6.4,1,Adult
30-45 (Adult),M,6.7,1,Adult
30-45 (Adult),M,9.1,0,Adult
30-45 (Adult),F,4.9,1,Adult
30-45 (Adult),M,5.4,1,Adult
30-45 (Adult),F,4.2,0,Adult
30-45 (Adult),M,5.0,0,Adult
18-29 (Young Adult),F,10.0,0,Adult
18-29 (Young Adult),F,2.5,1,Adult
30-45 (Adult),M,5.0,1,Adult
18-29 (Young Adult),M,8.8,1,Adult
18-29 (Young Adult),M,9.6,1,Adult
18-29 (Young Adult),M,6.2,1,Adult
30-45 (Adult),F,7.9,1,Adult
18-29 (Young Adult),F,7.2,1,Adult
18-29 (Young Adult),M,6.2,1,Adult
18-29 (Young Adult),F,7.5,0,Adult
30-45 (Adult),F,9.3,1,Adult
18-29 (Young Adult),M,4.4,1,Adult
30-45 (Adult),M,2.3,0,Adult
30-45 (Adult),F,4.2,0,Adult
30-45 (Adult),M,2.7,1,Adult
30-45 (Adult),M,3.9,0,Adult
18-29 (Young Adult),F,1.5,1,Adult
30-45 (Adult),M,9.5,0,Adult
18-29 (Young Adult),F,8.0,0,Adult
18-29 (Young Adult),F,2.4,1,Adult
30-45 (Adult),M,6.1,0,Adult
30-45 (Adult),F,5.3,0,Adult
18-29 (Young Adult),F,5.9,0,Adult
30-45 (Adult),M,3.7,1,Adult
30-45 (Adult),F,9.8,1,Adult
30-45 (Adult),M,6.0,1,Adult
30-45 (Adult),M,5.4,1,Adult
30-45 (Adult),M,9.8,1,Adult
18-29 (Young Adult),F,9.8,1,Adult
18-29 (Young Adult),F,8.1,1,Adult
30-45 (Adult),M,9.2,1,Adult
30-45 (Adult),F,6.7,1,Adult
30-45 (Adult),M,1.9,1,Adult
30-45 (Adult),M,2.5,0,Adult
30-45 (Adult),F,1.7,0,Adult
30-45 (Adult),F,6.3,0,Adult
30-45 (Adult),M,9.8,1,Adult
18-29 (Young Adult),F,8.5,0,Adult
18-29 (Young Adult),M,3.6,1,Adult
18-29 (Young Adult),F,3.4,0,Adult
18-29 (Young Adult),M,9.6,1,Adult
18-29 (Young Adult),M,3.0,1,Adult
18-29 (Young Adult),M,1.0,1,Adult
18-29 (Young Adult),F,7.9,0,Adult
18-29 (Young Adult),F,9.2,1,Adult
30-45 (Adult),M,9.2,1,Adult
30-45 (Adult),M,7.0,1,Adult
30-45 (Adult),M,5.1,1,Adult
30-45 (Adult),M,7.7,1,Adult
18-29 (Young Adult),M,1.0,1,Adult
30-45 (Adult),F,3.2,1,Adult
30-45 (Adult),F,8.8,1,Adult
30-45 (Adult),M,7.5,1,Adult
30-45 (Adult),M,5.0,1,Adult
30-45 (Adult),F,4.1,0,Adult
30-45 (Adult),F,8.6,1,Adult
30-45 (Adult),F,6.3,1,Adult
30-45 (Adult),F,8.2,1,Adult
30-45 (Adult),F,9.8,1,Adult
30-45 (Adult),F,2.2,1,Adult
18-29 (Young Adult),F,6.3,1,Adult
18-29 (Young Adult),M,2.9,1,Adult
30-45 (Adult),M,4.9,1,Adult
30-45 (Adult),M,8.1,0,Adult
18-29 (Young Adult),F,4.6,1,Adult
18-29 (Young Adult),M,4.2,0,Adult
30-45 (Adult),F,9.3,1,Adult
18-29 (Young Adult),F,3.8,1,Adult
30-45 (Adult),F,4.4,0,Adult
30-45 (Adult),F,2.2,1,Adult
30-45 (Adult),M,3.0,1,Adult
30-45 (Adult),M,2.1,1,Adult
30-45 (Adult),M,7.8,1,Adult
18-29 (Young Adult),F,1.6,0,Adult
18-29 (Young Adult),F,7.0,1,Adult
18-29 (Young Adult),M,9.7,1,Adult
18-29 (Young Adult),F,6.4,1,Adult
18-29 (Young Adult),F,5.2,1,Adult
18-29 (Young Adult),F,6.9,1,Adult
30-45 (Adult),F,1.6,0,Adult
18-29 (Young Adult),F,3.7,0,Adult
18-29 (Young Adult),F,5.4,0,Adult
18-29 (Young Adult),F,9.3,1,Adult
18-29 (Young Adult),M,7.2,1,Adult
30-45 (Adult),F,2.5,1,Adult
30-45 (Adult),F,6.1,1,Adult
18-29 (Young Adult),M,6.7,1,Adult
30-45 (Adult),F,4.6,1,Adult
18-29 (Young Adult),M,9.7,1,Adult
18-29 (Young Adult),M,6.5,1,Adult
18-29 (Young Adult),M,6.3,1,Adult
18-29 (Young Adult),F,9.9,1,Adult
30-45 (Adult),F,1.3,1,Adult
30-45 (Adult),F,3.5,1,Adult
30-45 (Adult),M,1.7,1,Adult
18-29 (Young Adult),F,9.7,1,Adult
30-45 (Adult),M,1.1,0,Adult
18-29 (Young Adult),F,8.6,1,Adult
30-45 (Adult),F,4.0,0,Adult
30-45 (Adult),M,8.2,0,Adult
30-45 (Adult),M,7.5,1,Adult
30-45 (Adult),M,5.8,1,Adult
30-45 (Adult),F,2.0,1,Adult
30-45 (Adult),M,4.8,0,Adult
18-29 (Young Adult),M,3.8,0,Adult
18-29 (Young Adult),M,7.2,1,Adult
30-45 (Adult),F,6.4,0,Adult
30-45 (Adult),M,1.4,1,Adult
30-45 (Adult),F,5.5,1,Adult
30-45 (Adult),F,2.6,1,Adult
30-45 (Adult),F,6.6,1,Adult
18-29 (Young Adult),M,8.0,1,Adult
18-29 (Young Adult),M,6.1,0,Adult
18-29 (Young Adult),M,8.1,1,Adult
18-29 (Young Adult),F,1.3,0,Adult
18-29 (Young Adult),M,8.4,1,Adult
30-45 (Adult),M,1.2,1,Adult
30-45 (Adult),F,4.4,1,Adult
30-45 (Adult),F,5.0,0,Adult
30-45 (Adult),M,2.6,1,Adult
18-29 (Young Adult),F,1.7,1,Adult
30-45 (Adult),M,7.0,1,Adult
18-29 (Young Adult),F,6.2,1,Adult
18-29 (Young Adult),M,2.4,1,Adult
30-45 (Adult),M,2.4,1,Adult
30-45 (Adult),F,9.1,0,Adult
30-45 (Adult),M,1.3,0,Adult
18-29 (Young Adult),F,6.8,1,Adult
30-45 (Adult),F,7.1,1,Adult
30-45 (Adult),M,6.2,1,Adult
30-45 (Adult),F,7.5,1,Adult
30-45 (Adult),M,9.7,1,Adult
30-45 (Adult),M,3.9,1,Adult
18-29 (Young Adult),F,3.3,1,Adult
30-45 (Adult),F,2.9,0,Adult
30-45 (Adult),F,7.7,0,Adult
18-29 (Young Adult),F,9.0,1,Adult
18-29 (Young Adult),F,7.8,1,Adult
30-45 (Adult),F,5.1,0,Adult
30-45 (Adult),F,9.7,0,Adult
18-29 (Young Adult),M,7.7,1,Adult
18-29 (Young Adult),F,4.2,1,Adult
18-29 (Young Adult),M,2.7,1,Adult
18-29 (Young Adult),F,4.8,1,Adult
30-45 (Adult),F,7.8,1,Adult
30-45 (Adult),F,3.4,1,Adult
30-45 (Adult),F,2.7,1,Adult
18-29 (Young Adult),M,4.6,1,Adult
18-29 (Young Adult),M,2.8,0,Adult
30-45 (Adult),M,1.1,0,Adult
18-29 (Young Adult),F,8.6,1,Adult
30-45 (Adult),F,9.7,1,Adult
18-29 (Young Adult),M,8.6,1,Adult
30-45 (Adult),M,1.2,1,Adult
30-45 (Adult),F,1.6,1,Adult
30-45 (Adult),M,6.2,1,Adult
30-45 (Adult),M,6.3,1,Adult
30-45 (Adult),F,7.2,0,Adult
30-45 (Adult),M,1.7,1,Adult
18-29 (Young Adult),M,5.6,1,Adult
18-29 (Young Adult),F,5.7,1,Adult
30-45 (Adult),M,8.1,1,Adult
18-29 (Young Adult),M,8.9,0,Adult
30-45 (Adult),M,7.2,1,Adult
18-29 (Young Adult),F,5.6,1,Adult
30-45 (Adult),M,3.6,1,Adult
18-29 (Young Adult),M,1.5,1,Adult
30-45 (Adult),F,6.4,0,Adult
30-45 (Adult),M,4.1,1,Adult
30-45 (Adult),M,7.3,0,Adult
30-45 (Adult),F,8.4,0,Adult
30-45 (Adult),F,7.3,1,Adult
30-45 (Adult),M,5.4,1,Adult
30-45 (Adult),M,1.7,1,Adult
30-45 (Adult),F,7.2,1,Adult
30-45 (Adult),M,8.4,0,Adult
18-29 (Young Adult),F,9.2,1,Adult
30-45 (Adult),M,3.4,1,Adult
18-29 (Young Adult),F,7.8,1,Adult
18-29 (Young Adult),M,9.8,1,Adult
30-45 (Adult),M,5.7,1,Adult
18-29 (Young Adult),F,4.3,1,Adult
18-29 (Young Adult),M,4.7,1,Adult
18-29 (Young Adult),M,7.9,1,Adult
30-45 (Adult),F,2.0,1,Adult
18-29 (Young Adult),M,6.8,0,Adult
30-45 (Adult),F,7.9,0,Adult
30-45 (Adult),M,1.4,0,Adult
30-45 (Adult),M,4.6,1,Adult
18-29 (Young Adult),M,5.5,1,Adult
18-29 (Young Adult),F,9.1,1,Adult
30-45 (Adult),F,8.3,1,Adult
30-45 (Adult),M,6.1,1,Adult
18-29 (Young Adult),F,4.2,1,Adult
30-45 (Adult),M,8.0,1,Adult
30-45 (Adult),M,3.8,1,Adult
18-29 (Young Adult),M,2.1,1,Adult
30-45 (Adult),F,9.6,0,Adult
30-45 (Adult),F,2.8,1,Adult
30-45 (Adult),F,9.1,0,Adult
30-45 (Adult),F,2.0,1,Adult
30-45 (Adult),F,9.8,1,Adult
30-45 (Adult),M,6.0,0,Adult
30-45 (Adult),F,4.6,1,Adult
18-29 (Young Adult),F,9.0,1,Adult
30-45 (Adult),F,1.9,1,Adult
30-45 (Adult),M,9.0,0,Adult
18-29 (Young Adult),F,1.8,0,Adult
18-29 (Young Adult),M,2.7,0,Adult
18-29 (Young Adult),M,6.4,1,Adult
18-29 (Young Adult),M,3.6,0,Adult
18-29 (Young Adult),F,9.4,0,Adult
30-45 (Adult),M,9.4,1,Adult
30-45 (Adult),F,5.1,1,Adult
18-29 (Young Adult),M,7.3,1,Adult
18-29 (Young Adult),M,1.6,0,Adult
30-45 (Adult),M,9.8,1,Adult
18-29 (Young Adult),M,6.3,0,Adult
30-45 (Adult),M,5.4,1,Adult
30-45 (Adult),F,6.6,1,Adult
30-45 (Adult),F,5.9,1,Adult
30-45 (Adult),F,7.1,1,Adult
18-29 (Young Adult),F,6.6,0,Adult
18-29 (Young Adult),M,9.6,1,Adult
30-45 (Adult),F,5.0,1,Adult
30-45 (Adult),F,8.9,1,Adult
30-45 (Adult),F,6.0,0,Adult
18-29 (Young Adult),M,2.3,1,Adult
18-29 (Young Adult),F,9.8,1,Adult
30-45 (Adult),F,8.0,1,Adult
30-45 (Adult),M,5.0,1,Adult
18-29 (Young Adult),M,8.4,0,Adult
30-45 (Adult),F,2.2,0,Adult
30-45 (Adult),F,8.6,1,Adult
18-29 (Young Adult),M,9.5,1,Adult
30-45 (Adult),F,5.5,1,Adult
18-29 (Young Adult),F,1.7,1,Adult
18-29 (Young Adult),F,1.2,1,Adult
30-45 (Adult),M,4.2,1,Adult
18-29 (Young Adult),M,1.9,1,Adult
30-45 (Adult),F,1.0,0,Adult
30-45 (Adult),M,6.7,1,Adult
18-29 (Young Adult),M,6.5,0,Adult
18-29 (Young Adult),F,3.2,1,Adult
18-29 (Young Adult),F,6.1,1,Adult
30-45 (Adult),M,4.7,0,Adult
18-29 (Young Adult),F,6.7,1,Adult
30-45 (Adult),F,3.1,1,Adult
30-45 (Adult),F,2.2,0,Adult
30-45 (Adult),M,1.6,0,Adult
18-29 (Young Adult),M,5.2,1,Adult
18-29 (Young Adult),F,1.2,1,Adult
30-45 (Adult),M,4.1,1,Adult
18-29 (Young Adult),F,3.6,1,Adult
